gene	gene_start	gene_end	CHROM	gene_length
1	Xkr4	3214482	3671498	1	457016
2	Gm1992	3466587	3513553	1	46966
3	Gm19938	3647309	3658904	1	11595
4	Gm37381	3905739	3986215	1	80476
5	Rp1	3999557	4409241	1	409684
6	Sox17	4491390	4497354	1	5964
7	Gm37587	4496551	4499378	1	2827
8	Gm37323	4583129	4586252	1	3123
9	Mrpl15	4773211	4785739	1	12528
10	Lypla1	4807788	4848410	1	40622
11	Tcea1	4857814	4897905	1	40091
12	Rgs20	4909576	5070285	1	160709
13	Gm16041	4970857	4976820	1	5963
14	Atp6v1h	5070018	5162340	1	92322
15	Oprk1	5588493	5606131	1	17638
16	Npbwr1	5913707	5917398	1	3691
17	4732440D04Rik	6209866	6215293	1	5427
18	Rb1cc1	6214645	6276648	1	62003
19	Alkal1	6359218	6394731	1	35513
20	St18	6487231	6860934	1	373703
21	Pcmtd1	7088920	7173628	1	84708
22	Gm26901	7349406	7397801	1	48395
23	Gm30414	7497968	7518149	1	20181
24	Sntg1	8361475	9299238	1	937763
25	Rrs1	9545408	9547455	1	2047
26	Adhfe1	9548119	9580673	1	32554
27	2610203C22Rik	9560832	9631092	1	70260
28	Vxn	9601199	9627143	1	25944
29	Gm29520	9639255	9640582	1	1327
30	Mybl1	9667415	9700209	1	32794
31	Vcpip1	9718622	9748382	1	29760
32	1700034P13Rik	9747648	9791922	1	44274
33	Sgk3	9798107	9900843	1	102736
34	Mcmdc2	9908670	9942085	1	33415
35	Snhg6	9941959	9944118	1	2159
36	Tcf24	9960163	9967932	1	7769
37	Ppp1r42	9968624	10009136	1	40512
38	Gm15818	9982387	9992366	1	9979
39	Cops5	10024601	10038127	1	13526
40	Cspp1	10038217	10136768	1	98551
41	Arfgef1	10137571	10232670	1	95099
42	Cpa6	10324720	10719945	1	395225
43	Prex2	10993465	11303681	1	310216
44	A830018L16Rik	11414105	11975901	1	561796
45	Gm17644	12667563	12673090	1	5527
46	Gm29663	12670324	12671176	1	852
47	Sulf1	12692277	12861192	1	168915
48	Slco5a1	12866549	12992650	1	126101
49	Gm29283	13068838	13078662	1	9824
50	Prdm14	13113457	13127163	1	13706
51	Ncoa2	13139159	13374083	1	234924
52	Gm29570	13376070	13388413	1	12343
53	Tram1	13564698	13589910	1	25212
54	Lactb2	13623330	13660546	1	37216
55	Xkr9	13668771	13701723	1	32952
56	Eya1	14168958	14310235	1	141277
57	Gm9947	14752937	14776931	1	23994
58	Msc	14753346	14755990	1	2644
59	Trpa1	14872648	14918862	1	46214
60	Kcnb2	15287254	15712548	1	425294
61	Terf1	15805646	15844052	1	38406
62	Sbspon	15853862	15892722	1	38860
63	4930444P10Rik	16065979	16093325	1	27346
64	Rpl7	16101295	16104662	1	3367
65	Rdh10	16105774	16133734	1	27960
66	Gm28095	16228506	16244062	1	15556
67	Stau2	16228816	16520112	1	291296
68	Gm7568	16253592	16267921	1	14329
69	Ube2w	16540790	16619312	1	78522
70	Eloc	16641725	16656884	1	15159
71	D030040B21Rik	16657552	16662278	1	4726
72	Tmem70	16665210	16678275	1	13065
73	Ly96	16688433	16709611	1	21178
74	Gm28376	16898185	17091631	1	193446
75	Jph1	16994938	17097889	1	102951
76	Gm28783	17124747	17128956	1	4209
77	Gdap1	17145362	17164271	1	18909
78	Gm28784	17168403	17173103	1	4700
79	Pi15	17601901	17630939	1	29038
80	Gm28154	17615084	17641081	1	25997
81	Gm16070	17676027	17727284	1	51257
82	Crispld1	17727088	17766344	1	39256
83	Gm28153	17741915	17805417	1	63502
84	Gm28756	17994462	18059056	1	64594
85	Crisp4	18115191	18145902	1	30711
86	Defb18	18236473	18237443	1	970
87	Defb41	18250980	18265138	1	14158
88	Gm15825	19063300	19104840	1	41540
89	Tfap2d	19103022	19166346	1	63324
90	Tfap2b	19208914	19238576	1	29662
91	Gm28340	19242725	19243769	1	1044
92	Pkhd1	20057779	20618064	1	560285
93	4930486I03Rik	20356452	20392300	1	35848
94	Gm28653	20669882	20682958	1	13076
95	Il17a	20730905	20734496	1	3591
96	Il17f	20777783	20790617	1	12834
97	Mcm3	20802968	20820312	1	17344
