	adipocyte	airway_goblet_cell	alveolar_capillary_endothelial_cell	alveolar_type_1_(at1)_cell	alveolar_type_2_(at2)_cell	atrial_cardiomyocyte	basal_epidermal_(skin)	basal_epithelial_(mammary)	cd4_t	cd8_t	chief_cell	cilliated_cell	club_cell	colon_epithelial_cell_1	colon_epithelial_cell_2	colon_epithelial_cell_3	colonic_goblet_cell	cortical_epithelial-like	ductal_cell_(pancreatic)	eccrine_epidermal_(skin)	endocardial_cell	endothelial	endothelial_(exocrine_tissues)	endothelial_cell_(myocardial)	enterochromaffin_cell	esophageal_epithelial_cell	fibroblast	foveolar_cell	gastric_neuroendocrine_cell	granular_epidermal_(skin)	hepatocyte	keratinocyte_1	keratinocyte_2	luteal_cell_(ovarian)	lymphatic_endothelial_cell	macrophage	mammary_epithelial	mammary_luminal_epithelial_cell_1	mammary_luminal_epithelial_cell_2	mast	melanocyte	memory_b	mesothelial_cell	myoepithelial_(skin)	nkt	naive_t	pancreatic_acinar_cell	pancreatic_alpha	pancreatic_beta	pancreatic_delta,gamma_cell	paneth_cell	parietal_cell	pericyte	peripheral_nerve_stromal	plasma	satellite_cell	schwann_cell_(general)	small_intestinal_enterocyte	small_intestinal_goblet_cell	smooth_muscle_(general)	smooth_muscle_group_1	thyroid_follicular_cell	transitional_zone_cortical_cell	tuft_cell	type_i_skeletal_myocyte	type_ii_skeletal_myocyte	vascular_smooth_muscle_1	vascular_smooth_muscle_2	ventricular_cardiomyocyte	zona_fasciculata_cortical_cell	zona_glomerulosa_cortical_cell
chr1:0-1042457	0.00025208334416512777	0.00030297579422712697	0.000259595711090199	0.0002393072513500698	0.00028676918165029504	0.00030305247019199645	0.000411984109828576	0.0005427127180022456	0.000604075999793587	0.0003421224181174038	0.0006321220397269617	0.0002989570972065336	0.000262352972167186	0.0002891811414514257	0.0005385485803485817	0.0003573557159510452	0.00035683263867886285	0.0005685207825104017	0.0006899280043299118	0.0003817372067125391	0.0007306541643481978	0.00036407389760656906	0.0005713092226523319	0.0003344732648282882	0.0005665618090406202	0.00038199363535577256	0.0003432168072856715	0.0006104489570263958	0.0008590439529588317	0.0003361346165283446	0.00038037118176702174	0.00034121917856271526	0.0004040442445314267	0.0002872422284971468	0.0004037003024657808	0.0002718015681439709	0.0003550605507201075	0.0007608254594596325	0.0004594524096545061	0.0003352729572860159	0.0004130204568986675	0.0003099024039130277	0.00040820608852751365	0.0003102795560104215	0.0003042240735550606	0.0005303176396105466	0.0005887193906101909	0.0005950278508810702	0.0007348386528732552	0.00063006678080909	0.0002805413998192426	0.0008070712997635456	0.00046525818145599565	0.00022545915628732397	0.00031734378090143904	0.00040514573402283875	0.0003730444260071205	0.00019054303438288458	0.00033424554235867045	0.00016633152528469555	0.00032119616845665557	0.00026166725728566856	0.0006548670686284926	0.0007469173485514373	0.0003766537384514496	0.0003874071287745888	0.00039600366209319437	0.0005200678702968597	0.0003348710809860757	0.0005431156865220748	0.00057309825879197
chr1:1042457-1265484	0.00016339614874942633	0.0005125787964477599	0.0001509543346257308	0.00016133375283814116	0.00016635525964678536	0.00010887785819735657	0.0003208867633579901	0.0004305918034387054	0.00034791560441674356	0.0002502448378474332	0.0005574396939621083	0.0001954719485196566	0.0002475144899093026	0.00036557512130959847	0.00038741404847511757	0.00035093102151020347	0.0003729176978638474	0.00014860701540746573	0.0003641728530807721	0.00032061388998123294	0.00014380805877897514	0.00022762813395674637	0.0002660797910665661	0.00017095324245205122	0.00037174245125249863	0.0002624322741749518	0.00014616688453925508	0.0004520103116315932	0.00047633824484880603	0.000342616557847236	0.00014297456086965175	0.00029456079360763623	0.000315299530072847	0.00016266652049823688	0.00019242343838663838	0.00014141749850840257	0.00025582443209394925	0.000453092470613696	0.0003428857162616849	0.00029007353371120355	0.00023922046286372492	0.00023961268063951333	0.0002378486712620633	0.00027351921239401645	0.00023424618782057733	0.00024756803298304407	0.00022764985177459187	0.0002437681782772123	0.0002182943947929092	0.00034863695249436294	0.0004326976611676132	0.0004234007660863106	0.0002008769010442054	0.0001365904472360337	0.00029458169845497043	0.00018208797091405165	0.00018657854987901403	0.00023675990264273005	0.0005112874748920051	8.135375135739537e-05	0.00016464172618678482	0.00014929517489245387	0.00017182712028875424	0.000482920699847912	0.00012094479959279563	0.00011694216418250931	0.00014710637578215242	0.00012048178117942711	0.00011126318152572011	0.00016542398688193174	0.00016719475951245929
chr1:1265484-1519859	0.0003706507292952093	0.00048295569465321226	0.00018640573115624137	0.00024767596800936054	0.00024303669586805667	0.00016809771403790264	0.0004768740875713504	0.0005838573066406734	0.0003509045700819237	0.00028066238299012837	0.00046794651404728885	0.00018397359866555903	0.00030418690418540707	0.0003177800919716314	0.00035779838720014894	0.00029139808053376933	0.00022760838840164924	0.00042495129401505304	0.0004176660550855713	0.0004249305517472603	0.0002918151140343995	0.0003840699250384633	0.00036674666492284225	0.00029813307001452224	0.0002778752372292794	0.0003725425310157649	0.00033485917519033995	0.00036583562368729	0.0004559999893553973	0.0005544899191064541	0.00030948972623842305	0.00043867159744731776	0.0004489010254383716	0.0004093854950046823	0.00031928680459752235	0.00021740646595072292	0.0005083810083634994	0.0005052417348433551	0.00038587425771034934	0.0003613930108232307	0.00039617400288164827	0.00027849694069494716	0.00033456283753962544	0.0004341934687740602	0.00025088203820184627	0.00037004905932560086	0.0004037258091468736	0.0003864279638356881	0.0003744681553230393	0.00037804006888545404	0.0004286536849418911	0.00045614034093092125	0.0003984299532079104	0.0003909312781500904	0.0002774358415481616	0.00039316141886987054	0.0004463023380159803	0.00020291900297554293	0.0003315973865228569	0.00014453447546226627	0.0004767238022454668	0.00023146487387806552	0.0005276995520645641	0.0004185312733348571	0.0004119033501476336	0.0003926262405457172	0.0003263806064872297	0.0003041309451014502	0.0002409173159033892	0.0005132443238183605	0.0004996114770269066
chr1:1519859-1826619	0.0003646953236579263	0.0002808727489201609	0.00017954417053743285	0.00014071616389709445	0.00015932213238439844	0.0001427621032477742	0.0003802412821319731	0.0003491428690670307	0.0002851473254479614	0.0002700691195263132	0.00031299481425810455	0.00012073267446802305	0.00016389082794613787	0.00025434051987538713	0.0003003985523198957	0.0002545620140443299	0.00022375061912389174	0.00042279235433843166	0.00021996932903700582	0.0002649633703708329	0.00017214618583270112	0.00022209699674764172	0.0002151487823802257	0.00014169050062892802	0.00020185582137779924	0.00021146598580056003	0.00023882992030043124	0.00026157983068852405	0.0002693764708209775	0.00031721317871370627	0.00020805741136721733	0.0002494821452902385	0.0002560560998708959	0.00026351005388810123	0.00025239799737348286	0.0001928105922062869	0.0002288216780690959	0.00035023801526844705	0.00025403525347614535	0.00026040950332264443	0.00031907739078309633	0.0002661443003218115	0.0002202115846273063	0.00022538996743871997	0.0002355098595169295	0.00031271751508014846	0.00023819314911588	0.0001689756693436426	0.00020684221211734368	0.00021002226093636318	0.0002616741167251504	0.0003538437334093263	0.0002610007462296931	0.00016642054468891699	0.00026183585825143875	0.00016954504040096627	0.00019910000224737223	0.0001805032661451368	0.0003330744423204614	7.964144612488402e-05	0.00024231764342830259	0.00024072830823892823	0.000500033068615537	0.00022858246512134513	0.00028562933986690564	0.00028263589071334476	0.00024933271339834285	0.000172116758965502	0.00019056609882636208	0.0005858860467569378	0.00044955168944869233
chr1:1826619-2058465	0.00019646754689760034	0.0002007068185632571	0.00013608761995164553	0.00015559585221821753	0.00013857480039486508	0.00014517307476183492	0.00025399806129797827	0.00024420869172903407	0.0002594422207274127	0.0001815280616126543	0.0002548112705539499	0.0001494785491032668	0.00011986277842713606	0.00024002927451765462	0.00027157853407364313	0.0001817321366298122	0.000183887003253731	0.00031412572394846856	0.00021188084249058352	0.0002132968601895775	0.00017209906767020163	0.00019999407113354317	0.00022643011155546464	0.0001591539513588172	0.0001920381152737936	0.00015123618429287348	0.0001509992158499866	0.00019951046679863826	0.000242309587878572	0.00022731482526714393	0.00016833263958745333	0.00021502057812579258	0.0001695729736797357	0.00015421137036665148	0.0002693982415394287	0.00015409344302561793	0.00020614935014135342	0.0002739968056497399	0.00019744260851669877	0.0002155571502503037	0.00019657630394052028	0.00019941798401552045	0.0001508242657439759	0.00017950349030183377	0.00014035117189042134	0.0001967343773163161	0.0003069106676203846	0.00020360183088696189	0.00017248727181307363	0.0001722182541478179	0.0002225020622939205	0.00030187079675402477	0.00023286219366648494	0.0001235070711602079	0.00020761244440422566	0.00013907722075857544	0.00015842808983658978	0.00019764445852408716	0.0002577777044143097	6.302050655578964e-05	0.00014523707642702906	0.00015732464346447064	0.0003686523819832283	0.0001963877518648178	0.0001737857660520222	0.0001833888323393708	0.00014388577106665913	9.684932818747467e-05	0.00018422617245853203	0.0004177464824473956	0.0003366089174741993
chr1:2058465-2280372	0.00038589191411218224	0.00036733081523060266	0.0003053394485489228	0.0003869283771292166	0.0002781864051424355	0.00024299056235053626	0.0003998423918122581	0.0004072565617017347	0.00041845519411499386	0.0003532658268828248	0.00036684675797174683	0.0002184686482278512	0.00020467595180267766	0.0002352833067209432	0.00027064961880668404	0.0002569316410210972	0.0001928884649018318	0.0003360749439941232	0.00027546230938074116	0.0003017077529202831	0.00030562073474509516	0.0003250511795039565	0.000436607130740329	0.0001767549366693314	0.00015801870463346708	0.0002239530657751112	0.00036077773106233985	0.0002385218283719828	0.00035517855006556763	0.00034532816427749146	0.00022155864099171235	0.0002806218391119522	0.00029727607655431775	0.0003694275625042058	0.00030933003110733353	0.0002639014196030689	0.0003498907128968616	0.0003783171610205158	0.00029016243148032825	0.00036787971090800715	0.0004172796287484142	0.0002586658990911296	0.00023546432770799706	0.0004356057115842452	0.00031474509947222354	0.00040367462143824795	0.00023899960964378803	0.0002811644327439972	0.0002380579940588564	0.0002688284937185449	0.00031426484100859997	0.0002614505560008699	0.0004351896876873132	0.000371044546514835	0.00022293951572936716	0.00029401636567529866	0.00035991960947403135	0.0002011036482512501	0.0003008557869916697	0.000124936117604747	0.0004177476618879209	0.0002672886567378328	0.00037953640465987585	0.00018029039523655377	0.00019445795013702506	0.0002552513128846765	0.00041453943981516867	0.000483208307241526	0.00025186589960297256	0.00040054781907253	0.0003948065030331084
chr1:2280372-2491263	0.00023762029489021115	0.00021672223809116262	0.00017840057710096497	9.691273842103856e-05	0.00010120825291939511	0.0001301459524980999	0.0002989606394031493	0.0002639519537883749	0.00023254152974079196	0.0002020137914771794	0.00014455495283138828	0.000143729374176218	0.00012458203735118037	0.00013770706434466844	0.00013578550396966066	9.764022519219927e-05	0.00011058938697633897	0.0002119359125883713	0.00015556477043023132	0.00023103221114182792	0.0001674171714383001	0.00020260730865578286	0.0001688628461520083	0.00013735390586796045	0.00012316568336477864	0.00016881310664835597	0.00018276977373650897	0.00011542313493003357	0.00019537186281050095	0.00024069559254083904	0.0001472153317132431	0.00023372049732330044	0.00026319494688029223	0.0002327508404727107	0.00018641050952973486	0.00015762848611201004	0.0003258899521325638	0.0002435163178498137	0.0002189091405944077	0.00026214699860569867	0.00023858102427323351	0.00022674398005608968	0.00017736542968501675	0.00038023028390892524	0.0001904350483339857	0.00022954047145133766	0.00012808554581826665	0.00020807722458600543	0.0002856490260308798	0.00012181291176309068	0.00014114256159805704	0.0001301554984648023	0.00025298797310805267	0.0001836906011090071	0.00017124286123331112	0.00016410215804103234	0.0002073322410892499	0.00013134515253207245	0.00015250267972515084	9.336749480244196e-05	0.0002455866541700398	0.00016925855142452866	0.00023790367086117678	0.00012555938270045728	0.00010702988226057343	0.00010741549182583773	0.00022724986743659313	0.0002617345378103369	0.00010685705630721529	0.00024960691813785354	0.00019555375247548728
chr1:2491263-2817807	0.00013407823412112937	0.0002252317367079089	0.00021499556706794373	0.0001301691033175247	0.00013695606790310128	9.441997138441018e-05	0.00021135913623976393	0.0003056074448180276	0.0003640560190087161	0.00024805310416139547	0.0002819837032566872	0.00020697029837375377	0.0001609485223741911	0.00029963168430111655	0.000245249346468291	0.0003007980185826801	0.0002083195420128619	0.00021481449882386684	0.00024088309248397716	0.00022772652935349122	0.00020287622541006006	0.00027804677985772896	0.0003166222607395013	0.00020600403660564677	0.0001985941948313067	0.00017794089065149255	0.000160805356406152	0.00022945662634901652	0.0002887415373960648	0.00025361888928318815	0.000179410571587039	0.0002451151512344908	0.0002271225431316008	0.00020308943128071084	0.0003020516774583544	0.0002034714691291848	0.00023267505319752872	0.00035117147665468225	0.0002451136695177606	0.00033119595405789085	0.00038507020192124665	0.00027973871338128983	0.00015391042579305917	0.0002473706502450205	0.00021663756219504054	0.0002563508549836706	0.0001782757378890523	0.00016343548349671168	0.00023140194078815032	0.0002016213705389087	0.0002565581084550986	0.00027710525365117627	0.000239257181274252	0.0001559538438282561	0.0002905604670620646	0.00013422315719854158	0.00020982111463337659	0.00019812909616543397	0.00033118936539448514	8.002928140623676e-05	0.00016396887424952495	0.00013268240133473315	0.0002629720327680361	0.00027687453500613643	0.00015812475322510926	0.0001558568721596074	0.00016205085461389195	0.0001645810667414629	0.00011016868871991083	0.0002717841419633383	0.00023106414366397393
chr1:2817807-3025418	6.517585574762437e-05	1.0192630135300484e-05	7.318998094590063e-05	3.544542885986828e-05	5.4136806630870745e-05	2.4485986058512718e-05	4.794393119338082e-05	2.5894370033731158e-05	1.913362991116798e-05	3.565239033339657e-05	5.143339538014097e-05	6.324092519753589e-05	6.861716419536816e-05	3.396970151678613e-05	4.1397514493640295e-05	3.955387881025379e-05	5.2066075476218746e-05	2.266886760452867e-05	0.00010408232408041947	3.029972150602508e-05	5.1733291367817413e-05	5.3723176413267614e-05	1.9712041911725637e-05	2.3869749976743548e-05	4.394699646476098e-05	3.111162574132604e-05	3.9127408951538594e-05	3.633426007244782e-05	3.072324663979951e-05	3.5383602865007044e-05	2.942575787389927e-05	5.296741278158254e-05	5.024384476414279e-05	3.9079615085718025e-05	2.996001338224982e-05	4.55813113003968e-05	2.723733816920801e-05	2.0090755547972865e-05	4.615427392275352e-05	2.132447517052774e-05	8.113531065698778e-05	5.645934018736509e-05	3.963979369305511e-05	3.511140455141724e-05	3.898615562345769e-05	3.38777317045409e-05	2.533942302904678e-05	4.155139486422776e-05	3.399091054944866e-05	4.6204898185999934e-05	4.6686359887579807e-05	2.2640310694514993e-05	5.4938485775620075e-05	3.022917873007857e-05	3.1293114082284885e-05	2.0484897641358856e-05	9.874344978266519e-05	4.16981000986027e-05	5.473413393480976e-05	4.2794250487467476e-05	3.814140447935265e-05	2.6448717536515696e-05	1.5518510751865402e-05	2.8975242930874743e-05	1.8472040515440302e-05	1.1381774884574156e-05	0.00012797604611889014	7.664574478569989e-05	2.8508043182187473e-05	1.4256787744954442e-05	1.7755196594243467e-05
chr1:3025418-3230151	0.00013698060135139027	1.611596268603137e-05	5.843568767594338e-05	0.00016358677697769495	0.00016147540259439655	3.9547640751229506e-05	4.499953605099973e-05	7.991187803696302e-05	1.6400254350969752e-05	4.140301966551622e-05	0.00044247880392294867	0.00013798019924916936	0.0001255919242318654	4.761092087181261e-05	3.071491600045848e-05	7.671732001191514e-05	3.986361688411866e-05	4.281897125299859e-05	0.00032303214469699826	5.774212000451124e-05	9.657440821003716e-05	8.543141226312457e-05	3.156452816774546e-05	4.80339943125358e-05	7.523195184132987e-05	3.356363139900906e-05	6.258718956188534e-05	0.0001812382294264985	0.0003153472341948857	4.082701349935483e-05	4.2148070404673374e-05	5.459506941729208e-05	4.809653934179782e-05	7.025163635195713e-05	4.785064860048726e-05	5.476897026986072e-05	4.320015667899751e-05	5.326015828281468e-05	7.729582273785633e-05	2.714187815729976e-05	9.282679955623793e-05	3.724596442049808e-05	6.150003144300294e-05	4.693061427055996e-05	2.947076376488113e-05	3.851906569257645e-05	0.00019405072154431117	0.00011495885733606457	9.069215018383444e-05	0.00013861469255799968	8.859105987389082e-05	0.0006587528699514833	0.00019808304778820524	4.186680444705385e-05	2.4771058206479645e-05	6.153830990871668e-05	0.00032318272634895205	8.810995381331414e-05	6.622809035781436e-05	6.837304841443055e-05	7.489818140210772e-05	0.0002361054109906187	5.926525996187514e-05	3.219471425652747e-05	4.462297586085179e-05	3.4854904861862456e-05	0.0003919206403964586	0.00043339680744018894	0.000235889445753073	4.8427816292384994e-05	5.819758655890915e-05
