gene	gene_start	gene_end	CHROM	gene_length
1	LOC102725121	11869	14362	1	2493
2	DDX11L1	11874	14409	1	2535
3	WASH7P	14362	29370	1	15008
4	MIR6859-4	17369	17436	1	67
5	MIR1302-2	30366	30503	1	137
6	FAM138A	34611	36081	1	1470
7	OR4F5	69091	70008	1	917
8	LOC729737	134773	140566	1	5793
9	LOC100132287	323892	328581	1	4689
10	OR4F29	367659	368597	1	938
11	LOC101928626	562760	564389	1	1629
12	MIR12136	567995	568065	1	70
13	OR4F16	621096	622034	1	938
14	LOC100133331	661139	665731	1	4592
15	LOC100288069	700245	714068	1	13823
16	FAM87B	752751	755214	1	2463
17	LINC00115	761586	762902	1	1316
18	LINC01128	762971	794826	1	31855
19	FAM41C	803451	812182	1	8731
20	LINC02593	852198	855072	1	2874
21	SAMD11	861111	879954	1	18843
22	NOC2L	879583	894636	1	15053
23	KLHL17	895964	901099	1	5135
24	PLEKHN1	901862	911245	1	9383
25	PERM1	910578	917473	1	6895
26	HES4	934344	935477	1	1133
27	ISG15	948877	949919	1	1042
28	AGRN	955500	991494	1	35994
29	LOC100288175	995114	1001833	1	6719
30	RNF223	1006347	1009686	1	3339
31	C1orf159	1017203	1051469	1	34266
32	LINC01342	1072397	1079434	1	7037
33	MIR200B	1102484	1102578	1	94
34	MIR200A	1103243	1103332	1	89
35	MIR429	1104385	1104467	1	82
36	TTLL10	1109260	1133315	1	24055
37	TNFRSF18	1138888	1141972	1	3084
38	TNFRSF4	1146720	1149533	1	2813
39	SDF4	1152288	1167447	1	15159
40	B3GALT6	1167617	1170420	1	2803
41	C1QTNF12	1177833	1182102	1	4269
42	UBE2J2	1189292	1209234	1	19942
43	SCNN1D	1215816	1227409	1	11593
44	ACAP3	1227771	1243310	1	15539
45	MIR6726	1231490	1231550	1	60
46	SNORD167	1240109	1240192	1	83
47	PUSL1	1243960	1247057	1	3097
48	INTS11	1246965	1260067	1	13102
49	MIR6727	1247882	1247946	1	64
50	CPTP	1260182	1264276	1	4094
51	TAS1R3	1266660	1270694	1	4034
52	DVL1	1270658	1284798	1	14140
53	MIR6808	1275030	1275088	1	58
54	MXRA8	1288069	1298921	1	10852
55	AURKAIP1	1309116	1310587	1	1471
56	CCNL2	1321091	1334715	1	13624
57	MRPL20-AS1	1334910	1337426	1	2516
58	MRPL20	1337289	1342673	1	5384
59	ANKRD65	1353800	1356824	1	3024
60	TMEM88B	1361508	1363167	1	1659
61	LINC01770	1365537	1369953	1	4416
62	VWA1	1371070	1378262	1	7192
63	ATAD3C	1385069	1405542	1	20473
64	ATAD3B	1407145	1433228	1	26083
65	ATAD3A	1447542	1470065	1	22523
66	TMEM240	1470158	1476004	1	5846
67	SSU72	1477053	1510243	1	33190
68	FNDC10	1533392	1535515	1	2123
69	LOC105378586	1534813	1542590	1	7777
70	MIB2	1550795	1565990	1	15195
71	MMP23B	1567552	1570030	1	2478
72	CDK11B	1570603	1655769	1	85166
73	SLC35E2B	1592939	1624234	1	31295
74	MMP23A	1631378	1633247	1	1869
75	CDK11A	1633818	1655796	1	21978
76	SLC35E2A	1656277	1677438	1	21161
77	NADK	1682671	1711470	1	28799
78	GNB1	1716724	1822556	1	105832
79	CALML6	1846699	1848735	1	2036
80	TMEM52	1849030	1850718	1	1688
81	CFAP74	1853396	1935225	1	81829
82	GABRD	1950784	1962197	1	11413
83	LOC105378591	1980640	1981509	1	869
84	PRKCZ	1981850	2116834	1	134984
85	PRKCZ-AS1	2113233	2115314	1	2081
86	FAAP20	2115899	2139172	1	23273
87	SKI	2159758	2241652	1	81894
88	MORN1	2252692	2322993	1	70301
89	LOC100129534	2281854	2284100	1	2246
90	RER1	2323280	2336875	1	13595
91	PEX10	2335413	2345266	1	9853
92	PLCH2	2398890	2436971	1	38081
93	PANK4	2439976	2458035	1	18059
94	HES5	2460184	2461702	1	1518
95	TNFRSF14-AS1	2481359	2488450	1	7091
96	TNFRSF14	2487804	2497061	1	9257
97	LOC100996583	2497974	2515973	1	17999
98	PRXL2B	2517962	2522907	1	4945
99	MMEL1	2522079	2564455	1	42376
100	TTC34	2572708	2717433	1	144725
101	ACTRT2	2938031	2939467	1	1436
102	PRDM16-DT	2976181	2984289	1	8108
103	PRDM16	2985767	3355185	1	369418
104	MIR4251	3044539	3044599	1	60
105	ARHGEF16	3371229	3397677	1	26448
106	MEGF6	3404515	3528072	1	123557
107	MIR551A	3477260	3477354	1	94
108	TPRG1L	3541579	3546691	1	5112
109	WRAP73	3547334	3566667	1	19333
110	TP73	3569080	3652765	1	83685
111	TP73-AS1	3652548	3663937	1	11389
112	CCDC27	3669014	3688209	1	19195
113	SMIM1	3689325	3692546	1	3221
114	LRRC47	3695123	3713062	1	17939
115	CEP104	3728651	3773775	1	45124
116	DFFB	3773831	3801993	1	28162
117	C1orf174	3805697	3816836	1	11139
118	LINC01134	3816968	3832011	1	15043
119	LINC01346	4000672	4012643	1	11971
120	LINC01345	4007209	4009040	1	1831
121	LINC01777	4472111	4484744	1	12633
122	LINC01646	4631547	4643764	1	12217
123	AJAP1	4714669	4852582	1	137913
124	MIR4689	5922732	5922801	1	69
125	NPHP4	5922871	6052485	1	129614
126	KCNAB2	6052736	6161240	1	108504
127	CHD5	6161847	6240381	1	78534
128	RPL22	6245080	6259655	1	14575
129	LOC102724450	6264900	6265840	1	940
130	RNF207	6266179	6281359	1	15180
131	ICMT	6281253	6296024	1	14771
132	LINC00337	6296300	6299502	1	3202
133	HES3	6304239	6305638	1	1399
134	GPR153	6307413	6321158	1	13745
135	ACOT7	6324332	6453826	1	129494
136	HES2	6475294	6479979	1	4685
137	ESPN	6484836	6521004	1	36168
138	MIR4252	6489894	6489956	1	62
139	TNFRSF25	6521214	6526255	1	5041
140	PLEKHG5	6526152	6580121	1	53969
141	NOL9	6581407	6614573	1	33166
142	TAS1R1	6615367	6639815	1	24448
143	ZBTB48	6640054	6649340	1	9286
144	KLHL21	6650784	6662929	1	12145
145	PHF13	6673791	6684090	1	10299
146	THAP3	6685210	6695646	1	10436
147	DNAJC11	6694230	6761876	1	67646
148	LINC01672	6784805	6790072	1	5267
