CHROM	seg_start	seg_end	seg_id
1	0	121700000	1p
1	125100000	248956422	1q
2	0	91800000	2p
2	96000000	242193529	2q
3	0	87800000	3p
3	94000000	198295559	3q
4	0	48200000	4p
4	51800000	190214555	4q
5	0	46100000	5p
5	51400000	181538259	5q
6	0	58500000	6p
6	62600000	170805979	6q
7	0	58100000	7p
7	62100000	159345973	7q
8	0	43200000	8p
8	47200000	145138636	8q
9	0	42200000	9p
9	45500000	138394717	9q
10	0	38000000	10p
10	41600000	133797422	10q
11	0	51000000	11p
11	55800000	135086622	11q
12	0	33200000	12p
12	37800000	133275309	12q
13	0	16500000	13p
13	18900000	114364328	13q
14	0	16100000	14p
14	18200000	107043718	14q
15	0	17500000	15p
15	20500000	101991189	15q
16	0	35300000	16p
16	38400000	90338345	16q
17	0	22700000	17p
17	27400000	83257441	17q
18	0	15400000	18p
18	21500000	80373285	18q
19	0	24200000	19p
19	28100000	58617616	19q
20	0	25700000	20p
20	30400000	64444167	20q
21	0	10900000	21p
21	13000000	46709983	21q
22	0	13700000	22p
22	17400000	50818468	22q
