	bin_id	CHROM	start	end	width
chr1:0-1042457	chr1:0-1042457	1	0	1042457	1042457
chr1:1042457-1265484	chr1:1042457-1265484	1	1042457	1265484	223027
chr1:1265484-1519859	chr1:1265484-1519859	1	1265484	1519859	254375
chr1:1519859-1826619	chr1:1519859-1826619	1	1519859	1826619	306760
chr1:1826619-2058465	chr1:1826619-2058465	1	1826619	2058465	231846
chr1:2058465-2280372	chr1:2058465-2280372	1	2058465	2280372	221907
chr1:2280372-2491263	chr1:2280372-2491263	1	2280372	2491263	210891
chr1:2491263-2817807	chr1:2491263-2817807	1	2491263	2817807	326544
chr1:2817807-3025418	chr1:2817807-3025418	1	2817807	3025418	207611
chr1:3025418-3230151	chr1:3025418-3230151	1	3025418	3230151	204733
chr1:3230151-3437000	chr1:3230151-3437000	1	3230151	3437000	206849
chr1:3437000-3645603	chr1:3437000-3645603	1	3437000	3645603	208603
chr1:3645603-4091348	chr1:3645603-4091348	1	3645603	4091348	445745
chr1:4091348-4312450	chr1:4091348-4312450	1	4091348	4312450	221102
chr1:4312450-4522391	chr1:4312450-4522391	1	4312450	4522391	209941
chr1:4522391-4733807	chr1:4522391-4733807	1	4522391	4733807	211416
chr1:4733807-4949751	chr1:4733807-4949751	1	4733807	4949751	215944
chr1:4949751-5167781	chr1:4949751-5167781	1	4949751	5167781	218030
chr1:5167781-5378577	chr1:5167781-5378577	1	5167781	5378577	210796
chr1:5378577-5586352	chr1:5378577-5586352	1	5378577	5586352	207775
chr1:5586352-5802602	chr1:5586352-5802602	1	5586352	5802602	216250
chr1:5802602-6013527	chr1:5802602-6013527	1	5802602	6013527	210925
chr1:6013527-6232553	chr1:6013527-6232553	1	6013527	6232553	219026
chr1:6232553-6468662	chr1:6232553-6468662	1	6232553	6468662	236109
chr1:6468662-6699855	chr1:6468662-6699855	1	6468662	6699855	231193
chr1:6699855-6922979	chr1:6699855-6922979	1	6699855	6922979	223124
chr1:6922979-7134271	chr1:6922979-7134271	1	6922979	7134271	211292
chr1:7134271-7347565	chr1:7134271-7347565	1	7134271	7347565	213294
chr1:7347565-7562625	chr1:7347565-7562625	1	7347565	7562625	215060
chr1:7562625-7781202	chr1:7562625-7781202	1	7562625	7781202	218577
chr1:7781202-8012370	chr1:7781202-8012370	1	7781202	8012370	231168
chr1:8012370-8246678	chr1:8012370-8246678	1	8012370	8246678	234308
chr1:8246678-8471404	chr1:8246678-8471404	1	8246678	8471404	224726
chr1:8471404-8698958	chr1:8471404-8698958	1	8471404	8698958	227554
chr1:8698958-8937804	chr1:8698958-8937804	1	8698958	8937804	238846
chr1:8937804-9174404	chr1:8937804-9174404	1	8937804	9174404	236600
chr1:9174404-9392992	chr1:9174404-9392992	1	9174404	9392992	218588
chr1:9392992-9634910	chr1:9392992-9634910	1	9392992	9634910	241918
chr1:9634910-9874006	chr1:9634910-9874006	1	9634910	9874006	239096
chr1:9874006-10127844	chr1:9874006-10127844	1	9874006	10127844	253838
chr1:10127844-10365738	chr1:10127844-10365738	1	10127844	10365738	237894
chr1:10365738-10601471	chr1:10365738-10601471	1	10365738	10601471	235733
chr1:10601471-10808784	chr1:10601471-10808784	1	10601471	10808784	207313
chr1:10808784-11040607	chr1:10808784-11040607	1	10808784	11040607	231823
chr1:11040607-11278872	chr1:11040607-11278872	1	11040607	11278872	238265
chr1:11278872-11503002	chr1:11278872-11503002	1	11278872	11503002	224130
chr1:11503002-11724328	chr1:11503002-11724328	1	11503002	11724328	221326
