gene	CHROM	gene_start	gene_end	gene_length	gene_ensembl
DDX11L2	1	11868	14409	2541	ENSG00000290825
MIR1302-2HG	1	29553	31109	1556	ENSG00000243485
FAM138A	1	34553	36081	1528	ENSG00000237613
ENSG00000290826	1	57597	64116	6519	ENSG00000290826
OR4F5	1	65418	71585	6167	ENSG00000186092
ENSG00000238009	1	89294	133723	44429	ENSG00000238009
ENSG00000239945	1	89550	91105	1555	ENSG00000239945
ENSG00000239906	1	139789	140339	550	ENSG00000239906
ENSG00000241860	1	141473	173862	32389	ENSG00000241860
ENSG00000241599	1	160445	161525	1080	ENSG00000241599
ENSG00000286448	1	266854	268655	1801	ENSG00000286448
ENSG00000236601	1	358856	366052	7196	ENSG00000236601
ENSG00000290385	1	365388	522928	157540	ENSG00000290385
OR4F29	1	450739	451678	939	ENSG00000284733
ENSG00000235146	1	587628	594768	7140	ENSG00000235146
OR4F16	1	685715	686654	939	ENSG00000284662
ENSG00000291215	1	725884	778688	52804	ENSG00000291215
ENSG00000229905	1	760910	761989	1079	ENSG00000229905
LINC01409	1	778746	810065	31319	ENSG00000237491
ENSG00000290784	1	800878	817712	16834	ENSG00000290784
FAM87B	1	817370	819837	2467	ENSG00000177757
LINC00115	1	824227	827539	3312	ENSG00000225880
LINC01128	1	825137	859446	34309	ENSG00000228794
ENSG00000288531	1	860225	868202	7977	ENSG00000288531
FAM41C	1	868070	876903	8833	ENSG00000230368
ENSG00000272438	1	904833	915976	11143	ENSG00000272438
ENSG00000230699	1	911434	914948	3514	ENSG00000230699
ENSG00000241180	1	914170	914971	801	ENSG00000241180
LINC02593	1	916864	921016	4152	ENSG00000223764
SAMD11	1	923922	944575	20653	ENSG00000187634
NOC2L	1	944202	959309	15107	ENSG00000188976
KLHL17	1	960583	965719	5136	ENSG00000187961
PLEKHN1	1	966481	975865	9384	ENSG00000187583
PERM1	1	975197	982117	6920	ENSG00000187642
ENSG00000272512	1	995965	998051	2086	ENSG00000272512
HES4	1	998961	1000172	1211	ENSG00000188290
ISG15	1	1001137	1014540	13403	ENSG00000187608
ENSG00000224969	1	1011996	1013193	1197	ENSG00000224969
AGRN	1	1020119	1056118	35999	ENSG00000188157
ENSG00000242590	1	1055032	1056116	1084	ENSG00000242590
ENSG00000291156	1	1059686	1066459	6773	ENSG00000291156
ENSG00000273443	1	1062207	1063288	1081	ENSG00000273443
RNF223	1	1070966	1074306	3340	ENSG00000237330
C1orf159	1	1081817	1116361	34544	ENSG00000131591
ENSG00000285812	1	1097584	1104598	7014	ENSG00000285812
LINC01342	1	1137016	1144056	7040	ENSG00000223823
ENSG00000272141	1	1169356	1170343	987	ENSG00000272141
TTLL10-AS1	1	1173055	1179555	6500	ENSG00000205231
TTLL10	1	1173879	1197936	24057	ENSG00000162571
TNFRSF18	1	1203507	1206592	3085	ENSG00000186891
TNFRSF4	1	1211325	1214153	2828	ENSG00000186827
SDF4	1	1216930	1232031	15101	ENSG00000078808
B3GALT6	1	1232236	1235041	2805	ENSG00000176022
C1QTNF12	1	1242445	1246722	4277	ENSG00000184163
ENSG00000260179	1	1249776	1251334	1558	ENSG00000260179
UBE2J2	1	1253908	1273864	19956	ENSG00000160087
LINC01786	1	1275222	1280420	5198	ENSG00000230415
SCNN1D	1	1280435	1292029	11594	ENSG00000162572
ACAP3	1	1292389	1309609	17220	ENSG00000131584
PUSL1	1	1308596	1311677	3081	ENSG00000169972
INTS11	1	1311584	1324687	13103	ENSG00000127054
ENSG00000240731	1	1317580	1318689	1109	ENSG00000240731
CPTP	1	1324755	1328896	4141	ENSG00000224051
TAS1R3	1	1331279	1335314	4035	ENSG00000169962
DVL1	1	1335275	1349418	14143	ENSG00000107404
MXRA8	1	1352688	1361777	9089	ENSG00000162576
AURKAIP1	1	1373729	1375207	1478	ENSG00000175756
CCNL2	1	1385710	1399335	13625	ENSG00000221978
MRPL20-AS1	1	1399514	1402046	2532	ENSG00000224870
MRPL20	1	1401908	1407293	5385	ENSG00000242485
MRPL20-DT	1	1409095	1410618	1523	ENSG00000272455
ANKRD65	1	1418419	1421769	3350	ENSG00000235098
ANKRD65-AS1	1	1420244	1422691	2447	ENSG00000225905
TMEM88B	1	1425870	1430255	4385	ENSG00000205116
LINC01770	1	1430538	1434573	4035	ENSG00000225285
VWA1	1	1434860	1442882	8022	ENSG00000179403
ATAD3C	1	1449688	1470163	20475	ENSG00000215915
ATAD3B	1	1471764	1497848	26084	ENSG00000160072
ENSG00000290916	1	1503249	1509466	6217	ENSG00000290916
ATAD3A	1	1512161	1534685	22524	ENSG00000197785
TMEM240	1	1534777	1540624	5847	ENSG00000205090
SSU72	1	1541672	1574863	33191	ENSG00000160075
ENSG00000215014	1	1574101	1577075	2974	ENSG00000215014
FNDC10	1	1598011	1600135	2124	ENSG00000228594
ENSG00000286989	1	1600313	1602703	2390	ENSG00000286989
ENSG00000272106	1	1613757	1615795	2038	ENSG00000272106
MIB2	1	1615453	1630605	15152	ENSG00000197530
MMP23B	1	1632162	1635263	3101	ENSG00000189409
CDK11B	1	1635224	1659012	23788	ENSG00000248333
ENSG00000272004	1	1659324	1662602	3278	ENSG00000272004
SLC35E2B	1	1659528	1692795	33267	ENSG00000189339
CDK11A	1	1702378	1724357	21979	ENSG00000008128
ENSG00000290854	1	1724837	1745992	21155	ENSG00000290854
NADK	1	1751231	1780457	29226	ENSG00000008130
GNB1	1	1785284	1892292	107008	ENSG00000078369
GNB1-DT	1	1891222	1892726	1504	ENSG00000231050
CALML6	1	1915107	1917296	2189	ENSG00000169885
TMEM52	1	1917589	1919279	1690	ENSG00000178821
CFAP74	1	1921950	2003837	81887	ENSG00000142609
ENSG00000233542	1	2013212	2015639	2427	ENSG00000233542
GABRD	1	2019328	2030758	11430	ENSG00000187730
PRKCZ-DT	1	2049202	2050070	868	ENSG00000226969
PRKCZ	1	2050410	2185395	134985	ENSG00000067606
ENSG00000271806	1	2141083	2145279	4196	ENSG00000271806
