gene	gene_start	gene_end	CHROM	gene_length
1	DDX11L1	11874	14409	1	2535
2	WASH7P	14362	29370	1	15008
3	MIR6859-1	17369	17436	1	67
4	MIR1302-2	30366	30503	1	137
5	FAM138A	34611	36081	1	1470
6	OR4F5	69091	70008	1	917
7	LOC729737	134773	140566	1	5793
8	LOC102725121	182388	184878	1	2490
9	FAM138D	205129	206597	1	1468
10	OR4F29	450740	451678	1	938
11	LOC100132287	490756	495445	1	4689
12	LOC101928626	627380	629009	1	1629
13	MIR12136	632615	632685	1	70
14	LOC100133331	725759	730351	1	4592
15	LOC100288069	764865	778688	1	13823
16	FAM87B	817371	819834	1	2463
17	LINC00115	826206	827522	1	1316
18	LINC01128	827591	859446	1	31855
19	FAM41C	868071	876802	1	8731
20	LINC02593	916818	919692	1	2874
21	SAMD11	925731	944574	1	18843
22	NOC2L	944203	959256	1	15053
23	KLHL17	960584	965719	1	5135
24	PLEKHN1	966482	975865	1	9383
25	PERM1	975198	982093	1	6895
26	HES4	998964	1000097	1	1133
27	ISG15	1013497	1014539	1	1042
28	AGRN	1020120	1056114	1	35994
29	LOC100288175	1059734	1066453	1	6719
30	RNF223	1070967	1074306	1	3339
31	C1orf159	1081823	1116089	1	34266
32	LINC01342	1137017	1144054	1	7037
33	MIR200B	1167104	1167198	1	94
34	MIR200A	1167863	1167952	1	89
35	MIR429	1169005	1169087	1	82
36	TTLL10	1173880	1197935	1	24055
37	TNFRSF18	1203508	1206592	1	3084
38	TNFRSF4	1211340	1214153	1	2813
39	SDF4	1216908	1232067	1	15159
40	B3GALT6	1232237	1235040	1	2803
41	C1QTNF12	1242453	1246722	1	4269
42	UBE2J2	1253912	1273854	1	19942
43	SCNN1D	1280436	1292029	1	11593
44	ACAP3	1292391	1307930	1	15539
45	MIR6726	1296110	1296170	1	60
46	SNORD167	1304729	1304812	1	83
47	PUSL1	1308580	1311677	1	3097
48	INTS11	1311585	1324687	1	13102
49	MIR6727	1312502	1312566	1	64
50	CPTP	1324802	1328896	1	4094
51	TAS1R3	1331280	1335314	1	4034
52	DVL1	1335278	1349418	1	14140
53	MIR6808	1339650	1339708	1	58
54	MXRA8	1352689	1363541	1	10852
55	AURKAIP1	1373736	1375207	1	1471
56	CCNL2	1385711	1399335	1	13624
57	MRPL20-AS1	1399530	1402046	1	2516
58	MRPL20	1401909	1407293	1	5384
59	ANKRD65	1418420	1421444	1	3024
60	TMEM88B	1426128	1427787	1	1659
61	LINC01770	1430157	1434573	1	4416
62	VWA1	1435690	1442882	1	7192
63	ATAD3C	1449689	1470162	1	20473
64	ATAD3B	1471765	1497848	1	26083
65	ATAD3A	1512162	1534685	1	22523
66	TMEM240	1534778	1540624	1	5846
67	SSU72	1541673	1574863	1	33190
68	FNDC10	1598012	1600135	1	2123
